类型,源语言,翻译语言,结果
法语,像我这种出身的人，哪有空为情所困啊，我忙着呢！,"Comment une personne telle que moi aurait letemps de tomber amoureuse, j’ai d’autres choses à faire !","Moi, avec mon background, j'ai pas le temps pour les histoires de cœur, j'ai du pain sur la planche, quoi !"
法语,过去，彗星的出现使人们陷入极度恐慌之中；他们认为，这就是瘟疫、战争、死亡的预兆。,"Jadis, l'apparition d'une comète plongeait les hommes dans de grandes frayeurs；ils pensaient que c'était là un présage de peste, de guerre, de mort.","Avant, le passage d'une comète, c'était la panique à bord ! Les gens y voyaient l'annonce de la peste, de la guerre, la mort quoi... 😱"
西班牙语,喜欢自己感冒时候的声音，会不自觉地比平时多说好多话,"Me gusta mi voz cuando estoy resfriada, me hace hablar.","Me encanta mi voz cuando estoy resfriado/a, como que me da por hablar más de lo normal, ¿a poco no? 🤧😂"
西班牙语,他十二岁的时候就跟着姥爷姥姥，跟谁都不亲,Vivió con mis padres desde que tenía 12 años.Nunca fue cercano a nadi e.,"A los doce años ya andaba con los abuelos, el pobre no tenía feeling con nadie más, ¿sabes? 🥺"
西班牙语,其实小娜已经好长时间不跟我一块住了,Nana dejó de compartir habitación conmigo hace mucho tiempo.,"Pues, la neta es que ya tiene un buen que la Nati no vive conmigo, ¿eh?"
西班牙语,她一直住在外边 我最后一次见她是在六天前,Ella ha estado viviendo afuera. La última vez que la vi fue hace seis días.,"Anda por ahí siempre, la última vez que la vi fue hace seis días, ¿eh?"
俄语,我回来了，要拿回属于我的一切。也就是说，你的一切都是我的。,"Я вернулся, чтобы взять своё. А точнее – забрать всё ваше.","Ну всё, я вернулась, так что готовься отдать мне всё моё по праву. То есть, считай, что всё твоё теперь моё, вот так вот! 😉"
俄语,好的，大家伙儿。我们真得赶紧结束这件事了。,"Ладно, здоровяк, нам пора закругляться.","Ну что, народ, надо бы нам эту бодягу побыстрее закруглить, а то что-то затянулось."
俄语,过去是，现在是，将来也将永远是。,"Был, есть и всегда им буду.","Было, есть и будет во веки веков!"
俄语,据说，无论谁拥有这根杖，都能够在两个世界之间穿行。,"Тот, кому принадлежит посох, способен путешествовать между мирами.","Короче, поговаривают, что у кого эта палка окажется, тот сможет между мирами шастать, как у себя дома."
日语,长江也是中国的经济大动脉，长江经济带城市群发挥各自区位优势、产业优势、创新优势，为中国经济高质量发展和高水平对外开放作出了重要贡献。,長江は中国の経済の大動脈でもあり、長江経済ベルトの都市群はその地理的な利点、産業の優位性、イノベーションの強みを生かして中国経済の質の高い発展とハイレベルの対外開放に重要な貢献を果たしている。,長江は中国の経済の大動脈って言えるよね。長江経済ベルトの都市群が、それぞれの場所の良さとか、産業の強み、イノベーション力を活かして、中国経済のレベルアップと、世界にどんどん開いていくのにめっちゃ貢献してるんだから、マジすごいよね！
日语,成长意味着经历了很多的选择。,人が大人になるということは、それだけ多くの選択をしてきたということだ。,成長って、マジ選択の連続だよねー。
日语,成都大熊猫“金宝”因长相潦草而走红,お団子ヘアパンダ「金宝」が人気に 四川省成都,マジで！？成都のパンダ「金宝」って子が、顔がテキトーすぎてバズってるらしいで🐼🤣 #パンダ #金宝 #成都
日语,武汉：生态环境改善 水鸟城市安家,生態環境が改善され、水鳥の都市定住を実現 湖北省武漢,マジで！？武漢、マジ生態系良くなってんじゃん！水鳥たちが安心して住み着くとか、最高じゃんね！✨🦆🏙️ #武汉 #生态环境 #水鸟 #住みやすい街
中文,"Chaque année, nous récompensons vos destinations, hôtels, activités et restaurants préférés dans le monde entier en fonction des notes et avis reçus sur une période de 12 mois. C'est donc vous, voyageurs du monde entier, qui désignez les lauréats Travellers' Choice Best of the Best en partageant vos expériences.
Les prix 2025 célèbrent tous ces lieux découverts l'an passé et toutes les aventures dans lesquelles vous avez embarqué. Nous révélerons les gagnants par catégorie tout au long de l'année, alors gardez un œil sur cette page pour savoir ce qui est en vogue.
Pour plus de détails sur la manière dont les lauréats sont choisis, consultez notre politique d'attribution des prix.","我们每年都会根据 12 个月以来收集的点评和评分，评选出全球旅行者最喜爱的目的地、酒店、餐厅和景点玩乐。因此，我们的旅行者之选大奖至尊奖获奖者由您决定：来自世界各地的真实旅行者，分享真实的意见和故事。
2025获奖者是对我们去年所做一切的赞扬，包括我们发现的所有地点，以及我们对新的旅程表达肯定的所有时间。我们将按类别揭晓全年的获奖者，因此请持续关注最新消息。
如需进一步了解如何选出获奖者， 请访问我们的奖项政策页面",每年都係咁，跟住過去一年大家嘅評分同評價，我哋會頒獎俾全球至正嘅旅遊目的地、酒店、玩樂同埋餐廳！多謝咁多位周圍去嘅旅友，你哋嘅親身經驗先可以選出「旅行者之選——至尊之選」嘅得獎者㗎！2025年嘅獎項就係要表揚大家舊年發掘嘅好地方同埋經歷過嘅精彩冒險。我哋會陸續公佈唔同類別嘅得獎名單，記得密切留意，睇吓有乜嘢hit爆嘢！想知多啲點樣揀得獎者？睇吓我哋嘅頒獎政策就一清二楚喇！
中文,"Avec ses décors de carte postale, Bali est un véritable paradis en Indonésie. Prenez le soleil sur un tapis de sable blanc et découvrez la faune tropicale en explorant les récifs coralliens de l'île ou l'épave colorée d'un navire de guerre datant de la Seconde Guerre mondiale. Enfoncez-vous dans les terres et découvrez une jungle luxuriante dans laquelle sont camouflés d'antiques temples de pierre habités par des singes facétieux. La « capitale artistique » de Ubud est le lieu idéal pour assister à une performance de danse traditionnelle, acheter un batik, visiter l'atelier d'un argentier, ou vivifier votre corps et votre esprit avec un cours de yoga.",巴厘岛风景如画，也是印尼的梦幻天堂。 在一片白色细沙滩上沐浴阳光，也可潜水到珊瑚脊或多彩的二战沉船遗址与热带生物亲密互动。 在岸上，翠意盎然的雨林中，石庙和顽皮的猴子若隐若现。 乌布是“艺术之都”，要想欣赏文艺舞蹈表演、参观蜡染和银饰作坊，或者在瑜伽课程中激活您的灵魂与身体，这里就是您的完美去处。,风景美如画的巴厘岛，简直是印尼的世外桃源🌴！你可以在白沙滩上尽情享受阳光浴，潜水探索色彩斑斓的珊瑚礁，或者二战时期的沉船遗骸🚢，感受热带海洋的魅力。深入内陆，茂密的热带雨林里隐藏着古老的石 মন্দির，里面住着调皮捣蛋的猴子🐒。对了，别忘了去“艺术之都”乌布逛逛，看看传统舞蹈表演，买块巴厘岛蜡染布，参观银器工坊，或者来个瑜伽🧘课程，让身心焕然一新！
中文,"Dubaï est une destination qui mêle la culture moderne à l'histoire, l'aventure, le divertissement et le shopping de première classe. Venez assister à une représentation à l'opéra de Dubaï, observez le cœur de la ville du haut de la tour Burj Khalifa et passez un après-midi au bord de la rivière de Dubaï à explorer les souks d'or, de tissus et d'épices. Si vous êtes à la recherche de sensations fortes, élevez-vous en montgolfière au-dessus des dunes, faites un tour à toute allure à l'IMG Worlds of Adventure ou sautez en parachute sur l'île de Palm Jumeirah.",迪拜 (Dubai) 有超现代化的城市景观，很难想象这颗阿联酋明珠曾经是贝都因商人聚集的小镇。 在纳艾诗巴 (Nad al Sheba) 赛道，白天会举办骆驼比赛，晚上则举行纯种马比赛。 在这里，高级时装店和电子商店像金店一样受欢迎。 这里有 400 多家餐厅，您可以选几家品尝，体验迪拜不同民族的特色口味。 来迪拜，一定要去海滩尽兴游玩一番，去高尔夫球场练练手，参观下历史遗址，当然还有丰富的夜生活和著名的免税店供您探索消遣。,迪拜这地方，既有现代潮流，又有历史底蕴，想玩刺激的冒险，还是想找乐子，或者血拼购物，都能满足你！去迪拜歌剧院看场演出，或者登上哈利法塔，俯瞰整个城市的心脏地带，再悠哉地在迪拜河边逛逛，淘点黄金、布料、香料啥的。要是追求刺激，那就坐热气球飞跃沙丘，或者去IMG冒险世界飙车，再或者直接在棕榈岛上跳伞，绝对让你肾上腺素飙升！#迪拜 #旅行 #冒险 #购物
中文,"Déguster un pain au chocolat à la terrasse d'un café, se délasser après une journée de balade sur les quais de la Seine, s'émerveiller devant des lieux symboliques comme la Tour Eiffel ou l'Arc de triomphe… Un séjour à Paris réussi conjugue activités et détente, tout en prenant le temps de savourer un bon repas tout comme les célèbres expositions du Louvre. Commencez par prendre des forces à Notre-Dame, puis partez à la chasse aux bonnes affaires au marché aux puces de Montreuil ou goûtez aux spécialités vendues au marché biologique de Raspail et pour terminer votre journée en beauté, couronnez le tout par un spectacle osé au Moulin Rouge.",花上一天时间沿塞纳河 (Seine) 漫步，参观艾菲尔铁塔 (Eiffel Tower)、凯旋门 (Arc de Triomphe) 这些标志性建筑，然后在路边咖啡店里流连于巧克力面包的美味……完美的巴黎体验结合了休闲与活力，需安排足够的时间去品尝精致美食，也应拨点空去参观卢浮宫 (Louvre) 的展览。 在巴黎圣母院 (Notre Dame) 唤醒灵魂，在蒙特勒伊跳蚤市场 (Marché aux Puces de Montreuil) 淘便宜货，在有机农贸市场 (Marché Biologique Raspail) 寻觅美食，最后在红磨坊 (Moulin Rouge) 的夜生活里结束一天的行程。,在巴黎，就得是那种感觉：坐在咖啡馆露天座儿上，咬一口巧克力面包，溜达一天塞纳河边儿，晚上回去好好歇歇；埃菲尔铁塔、凯旋门这些地标必须得去打卡，卢浮宫的展览也别错过！一天下来，劳逸结合，还得抽空儿吃顿好的。要不先去巴黎圣母院那儿转转，补充点儿精神食粮？然后直奔蒙特勒伊跳蚤市场，或者去拉斯帕伊有机市场，淘点儿尖货、尝尝鲜儿！晚上嘛，去红磨坊看场秀，尺度大不大不重要，开心最重要！#巴黎 #法式生活 #吃喝玩乐
中文,Parece que usted es el que manda aquí.,看来你就是这里的领头人了,哟，看来你才是这儿的扛把子啊！
中文,"Sí, ¿tiene alguna pregunta?",请问您有问题吗?,有啥想问的，您就尽管开口哈～
中文,Parece que conoce bien sus patatas.,看来你对你们的品种十分了解,哟，看来你很懂薯条嘛！
中文,No alarguemos esto. Aquí todos somos profesionales.,大家都是专业种植户 就没必要拖拖拉拉了,得了，咱都专业人士，就别整那些虚头巴脑的了哈。
中文,"Ого, какое странное совпадение.",真是不可思议的巧合,我去，这也太巧了吧！
中文,"Ты действительно оправдываешь свое прозвище, Парк СОБ.",你还真是名副其实的朴混蛋,你真不愧是朴狗崽子，名不虚传啊！
中文,"Подожди, не говори мне, что у тебя все еще есть ко мне чувства.",等等，别告诉我你对我还有感觉,等等，你可别告诉我你还对我有意思啊喂！
中文,Поэтому появляешься у меня дома и на работе?,所以才跑来我家 还在工作上纠缠我？,所以你是打算在我家和公司都蹲点是吧？
中文,中心地から離れたエリアには、地域ならではの多彩な観光資源があふれています。北部エリアでは京北や美山 の広大な自然が広がり、日本の原風景である里山の景色を、さらに北へ足を延ばした日本海に面したエリアでは、天橋立 の砂州や伊根の舟屋 の風景を楽しむことができます。南部エリアでは、日本三大酒処の一つである伏見の日本酒や、宇治 の日本茶を味わうことができます。西部の京都西山エリアでは、竹林や美しい田園風景や歴史の深いお寺や神社の魅力に触れることができます。このように、市内中心部から少し足を延ばせば、知る人ぞ知る京都の魅力に出会うことができます。,京都市中心以外的区域也有很多隐藏的独特瑰宝等待您前去探索。在京都北部，京北和美山地区广阔的自然美景和传统的日本乡村风光完美融合。再往北，在该地区靠近日本海的地方，您可以观赏天桥立沙洲和伊根舟屋。在京都南部，您可以品尝来自日本三大清酒酿造地之一——伏见的传统清酒以及宇治的日本茶。而在京都西部，您可以体验京都竹林和乡野风光的魅力，并参拜西山地区具有深厚历史底蕴的寺庙及神社。总而言之，无与伦比的隐秘瑰宝正在京都市中心以外的区域等着您！,要说京都啊，可不光是市中心那点儿地儿有看头，往外走走，那才叫别有洞天！北边儿京北、美山一带，那大片的自然风光，简直就是日本乡下老家的感觉，再往北边儿靠海的地方溜达溜达，天桥立的沙滩、伊根的船屋，美得不像话！南边儿伏见，那可是日本三大酒乡之一，清酒管够！还有宇治的抹茶，那叫一个香！西边的京都西山，竹林、田园风光，还有那些古老的寺庙神社，随便逛逛都觉得穿越了！所以说，想玩转京都，别老盯着市中心，稍微往外跑跑，保证你发现不一样的惊喜！
中文,京都の静けさと穏やかさを楽しむために、観光の仕方を工夫してみましょう。「京都観光快適度マップ 」では、時間帯別の混雑予測やライブカメラ映像により、現地の状況がリアルタイムで確認できます。人気の寺院への参拝を早朝の開門時間に合わせたり、中心地以外の魅力あるエリアを観光したりすることで混雑を軽減できます。鉄道とバスを組み合わせて利用すれば、快適に市内を巡ることもできます。また、駅には観光客が利用できるコインロッカーや荷物預け入れ施設も多く設置されています。こうした施設を利用することで、荷物を持ち運ぶことなく京都を楽しめるだけでなく、公共交通機関の混雑を緩和し、より多くの人が乗車できるスペースをつくることができます。,如果想感受安静祥和的京都之美，您可通过京都旅游拥堵预测图查看热门景点的拥堵时段，也可以通过实景摄像头实时查看各地的拥堵程度。此外，我们建议您选择清晨热门寺庙开门时前去参观，或者探索京都市中心之外其他迷人的景点，从而缓解拥堵。乘坐日本的列车和巴士是一种非常方便的旅游方式。列车站还有大量供游客使用的投币式储物柜和行李寄存设施。将行李寄存在这些设施内不仅能够让您轻松游玩，还有助于减少公共交通工具上的拥堵，留出更多的空间供他人搭乘。,想在京都玩得舒舒服服，避开人挤人？给你支几招！看看这个「京都観光快適度マップ 」，实时人潮预测加上现场直播，哪个时间段人少一目了然！热门寺庙嘛，赶早去，一开门就冲进去！或者换个思路，别老盯着市中心，京都好玩的地方多着呢！市内交通，铁道🚃+巴士🚌灵活搭配，方便又快捷！车站里到处都是投币储物柜和行李寄存处，解放双手，轻装上阵！这样既能让自己玩得轻松，也能给公共交通减减负，大家都有位子坐，岂不美哉？
中文,祇園・東山 エリアでは、「芸妓さん」や「舞妓さん」を見かけるかもしれません。一緒に写真を撮りたくなる気持ちは分かりますが、声をかけて写真を撮ったり、着物に触ったりするのはマナー違反。彼女たちは次の予定に向けて急いでいるところであり、舞妓さんの足を止めて写真を頼んだり、着物に触ったりすることは避けましょう。舞妓さんと話をしたり写真撮影をしたい場合は、「ギオンコーナー」で実施している舞踊鑑賞などのアクティビティに申し込みましょう。錦市場 では、市場を歩き回りながら買い物を楽しみたくなりますよね。しかし、食べ物は必ず購入した店舗内の決められたスペースで食べ、ごみはお店のごみ箱に捨てましょう。もちろん「ポイ捨て」は厳禁です。近くにごみ箱が見つからない場合に備えて、ごみ袋を持ち歩くと良いかもしれません。,在祇园与东山地区，您可能会看到“艺伎”（在京都方言中，艺伎被称为“艺者”）或“舞伎”（艺伎学徒）经过。虽然您可能很想与她们合照，但请不要贸然上前阻拦，强行要求与她们拍照或触碰她们的衣物，因为这些可爱的女士通常正急着赶赴下一个工作地点。如果您想要和这些舞伎交谈或与她们合照，您可以考虑在祇园角预约舞伎体验或活动。在锦市场，您可能会想在逛市场时享用购买的食品，但请在购买食品的商店内食用，并现场处理垃圾。由于市场中严禁乱丢垃圾，所以您最好带一个存放垃圾的塑料袋，以便您在附近找不到垃圾桶时使用。,在京都祇園、東山一帶，偶爾會遇到「藝妓」或「舞妓」。「想合照」的心情我超懂！但直接攔住她們拍照、摸人家和服👘，母湯喔！她們趕行程🏃‍♀️💨很忙der，別擋路啦！想跟舞妓さん互動、拍照📸？去「ギオンコーナー」參加舞踊鑑賞之類的活動就好啦！還有啊，錦市場超好逛，邊走邊吃很讚😋，但買來的東西要在店家指定區域吃完，垃圾丟店家垃圾桶🗑️，亂丟垃圾🙅‍♀️絕對不行！怕找不到垃圾桶的話，自己帶個垃圾袋最保險啦！
中文,陶芸や織物、染物など、数多くの伝統工芸が根付く沖縄。なかでも染織物は、10種以上が現在でも受け継がれています。 沖縄の染物といえば、華やかな色彩が印象的な『紅型』が有名ですが、織物も豊富です。素材は、『芭蕉』、『苧麻（ちょま）』、『木綿』、『絹』などがあり、『花織』、『かすり』などの多様な技術が彩られます。 沖縄本島でも北部、中部、そして南部にそれぞれ特徴のある織物があります。また離島でも、宮古島や八重山諸島には『上布』と呼ばれるものが、久米島では『久米島紬』が作られています。日本でも沖縄はトップクラスの多さです。 とくに、琉球王朝時代に宮古島や八重山諸島、久米島などの離島では、租税の一部として王府に納めていた貢納布は、国内で使われるだけでなく贈答品や貿易品にも使われたため、質の高い仕上がりが特徴です。,冲绳的纺织品以其高品质的工艺而闻名。10 余种传统染色和编织工艺在这里代代相传。苎麻植物纤维、棉花和丝绸等材料用于编织，絣织/伊卡特染色和“花织 (hanaori)”编织风格则用于制作精细的图案。县里的每个地区都有自己独特的纺织品。产自冲绳本岛南部地区的红型 (Bingata) 以其明亮的色彩而闻名。遥远的宫古岛和八重山群岛生产带有伊卡特图案的上布苎麻织物，久米岛则生产久米岛紬丝织品。在琉球王国统治时期（15 世纪至 19 世纪），宫古岛、八重山群岛、久米岛等离岛以税收的形式向政府缴纳“贡布”。这些高级纺织品也被用于与当时的其他王国和统治王朝进行贸易。如今，冲绳是日本最大的这类面料生产地之一,沖繩那邊，陶藝、織物、染物這些傳統工藝超多的，特別是染織，現在都還能看到十幾種呢！說到沖繩染布，大家第一個想到的肯定是顏色超鮮豔的「紅型」嘛，但其實他們的織物也很多樣，像是芭蕉布、苧麻布、木棉布、絹布都有，織法也很多，像花織、絣織這些，各有各的特色。沖繩本島從北到南，織出來的東西都不太一樣，離島像宮古島、八重山那邊有「上布」，久米島有「久米島紬」，種類多到在日本可以排前幾名！尤其是琉球王朝那時候，宮古、八重山、久米島這些離島要繳給王府的貢納布，品質都超好的，不只自己用，還拿來送禮、做貿易，所以做工特別講究。
